YOLO Index,GDE Index,Layer Type,Avg Pearson,Std Pearson,Avg Cosine,Std Cosine,Avg MSE,Std MSE,Samples
0,0,Conv,-0.18189650252835463,0.0574967457577074,0.26712981345260683,0.024275823959796442,14.252811,2.7007241,50
1,1,Conv,0.0015981393834045452,0.027370043484645633,0.32698906774737296,0.02432608285344522,13.946376,5.446555,50
2,2,C3k2,-0.03944595827883864,0.016306672846623523,0.19976491392402376,0.023118683118836393,1.8263295,0.21053521,50
3,3,Conv,0.1384052866633614,0.01656663550043756,0.2981797446274496,0.023538149591435978,5.9247975,0.24273135,50
4,4,C3k2,0.06974810764309657,0.013061235730805714,-0.10981490117297989,0.02947090978412507,0.6978688,0.041021552,50
5,5,Conv,-0.03943900973808795,0.017856436602872644,0.02263880462415686,0.012925301995396463,1.7686082,0.080581136,50
6,6,C3k2,0.024260689916605026,0.01859702426044415,0.013674711379387798,0.016288483551182543,0.81047213,0.05897878,50
7,7,Conv,0.010484665961204944,0.020674673137242392,-0.02830836845087938,0.024635292764078446,3.0931811,0.076784894,50
8,8,C3k2,-0.01592066841366317,0.01848604796814485,0.09970739697149639,0.022459899107577314,2.670288,0.15935041,50
9,9,SPPF,-0.01484517671971766,0.02750567083914618,-0.09326245936396278,0.03912276975651763,1.6616111,0.104740456,50
10,10,C2PSA,-0.00029638647309624457,0.02266919936811848,-0.0608532493121698,0.022090944626684084,5.498394,0.09454038,50
13,13,C3k2,0.048758530391506696,0.013883530852138613,-0.011041003538181498,0.023473911293129174,6.6790614,0.11329252,50
16,16,C3k2,-0.07740303351747099,0.012743492513042255,0.0600256034817832,0.01732149235395295,1.9508864,0.05680741,50
17,17,Conv,-0.006869689484620036,0.025729842778377098,0.05183267749485103,0.03523079106563276,6.973968,0.15300278,50
19,19,C3k2,-0.05942578932006927,0.010041802731636988,0.03881237478821751,0.020697001678269763,1.9905373,0.056794673,50
20,20,Conv,0.0006400783484253,0.013499160153777773,0.14084375425479842,0.029222452183757887,6.9994187,0.1688762,50
22,22,C3k2,0.03292721274960135,0.010706925780804625,0.06538865010487477,0.02326472133453058,2.7089334,0.096945025,50
