epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/d_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/d_loss,lr/pg0,lr/pg1,lr/pg2
1,483.331,2.89697,9.8109,0.84274,2.76967,3.14475,2.04908,0.24097,0.19096,0.13341,0.04368,0.01621,0.01385,0.00085,0.00016,2.6154,11.3593,0.96504,2.89509,3.12134,0,0.00199887,0.00199887,0.00199887
2,965.17,1.91685,8.49902,0.74983,1.95737,2.13136,1.3996,0.56046,0.46552,0.50451,0.23267,0.21234,0.14389,0.0672,0.01402,1.92694,9.11515,0.79665,1.99966,2.28507,0,0.00399883,0.00399883,0.00399883
3,1430.68,1.59422,7.54533,0.63041,1.57352,1.74887,1.21309,0.68208,0.56001,0.62769,0.33114,0.42733,0.27472,0.21057,0.05394,1.69159,7.84577,0.71548,1.63877,2.00151,0,0.00599863,0.00599863,0.00599863
4,1894.59,1.48241,7.03162,0.59,1.44457,1.61492,1.13086,0.70591,0.60159,0.68527,0.38216,0.53642,0.33548,0.30171,0.0856,1.57722,7.12592,0.66779,1.50069,1.83537,0,0.00799816,0.00799816,0.00799816
5,2355.48,1.42764,6.75075,0.56962,1.37538,1.52637,1.09294,0.74408,0.61477,0.71891,0.41947,0.59482,0.38649,0.36952,0.11547,1.49694,6.67939,0.64132,1.38261,1.72088,0,0.00999729,0.00999729,0.00999729
6,2817.99,1.02094,4.83314,0.41351,0.96079,1.07828,1.84927,0.75823,0.66656,0.75466,0.46149,0.60513,0.45545,0.42523,0.14014,1.41843,6.28696,0.61636,1.25094,1.60269,0,0.00999754,0.00999754,0.00999754
7,3282.53,0.97885,4.63608,0.4021,0.90544,1.02839,1.76399,0.77793,0.68331,0.77842,0.49406,0.66355,0.48914,0.48154,0.16819,1.35173,5.97708,0.59856,1.17203,1.53112,0,0.00999645,0.00999645,0.00999645
8,3753.76,0.94404,4.4717,0.39211,0.86454,0.99521,1.7195,0.79503,0.69553,0.79621,0.51473,0.70606,0.5022,0.51432,0.18823,1.30874,5.74078,0.5855,1.10674,1.4801,0,0.00999517,0.00999517,0.00999517
9,4219.37,0.92539,4.37487,0.38726,0.83617,0.96958,1.68379,0.80307,0.7081,0.80902,0.53296,0.69138,0.5255,0.53037,0.20045,1.26696,5.56661,0.57519,1.05438,1.43364,0,0.00999369,0.00999369,0.00999369
10,4678.53,0.90902,4.30648,0.38267,0.8142,0.94794,1.66155,0.81612,0.7134,0.81801,0.54112,0.70067,0.54392,0.5475,0.21186,1.24899,5.4314,0.56895,1.02515,1.40547,0,0.00999202,0.00999202,0.00999202
11,5139.28,0.89883,4.2403,0.37886,0.7961,0.93408,1.64074,0.81792,0.72557,0.82364,0.55169,0.71187,0.56297,0.5668,0.22362,1.22879,5.32669,0.56411,0.9978,1.38233,0,0.00999014,0.00999014,0.00999014
12,5598.67,0.8833,4.15726,0.37449,0.77859,0.91891,1.62759,0.82599,0.72934,0.8289,0.55958,0.72069,0.56596,0.57835,0.23108,1.2089,5.23872,0.55883,0.97757,1.36092,0,0.00998807,0.00998807,0.00998807
13,6057.62,0.8741,4.11979,0.37255,0.76884,0.91238,1.61586,0.82172,0.73433,0.83289,0.5666,0.72273,0.57982,0.58725,0.23924,1.19475,5.15812,0.55442,0.96162,1.34739,0,0.00998581,0.00998581,0.00998581
14,6527.94,0.86439,4.06158,0.36961,0.75656,0.90365,1.60796,0.82331,0.74213,0.83679,0.57076,0.72611,0.58807,0.59458,0.24601,1.18485,5.08496,0.55144,0.94612,1.33604,0,0.00998335,0.00998335,0.00998335
15,6993.33,0.85845,4.03164,0.36719,0.74886,0.89492,1.59864,0.8263,0.74142,0.83754,0.57402,0.72578,0.5921,0.59962,0.25221,1.17605,5.02778,0.54872,0.93521,1.32669,0,0.00998069,0.00998069,0.00998069
