epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/d_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/d_loss,lr/pg0,lr/pg1,lr/pg2
1,414.869,0.67759,8.3513,0.62376,0.93401,1.15934,1.20728,0.80059,0.69843,0.80145,0.52116,0.66852,0.53668,0.52871,0.19826,0.80709,9.0416,0.74162,1.07451,1.39917,0,0.0505419,0.000499576,0.000499576
2,832.833,0.698,8.35984,0.62228,0.95944,1.18401,1.24781,0.78424,0.71048,0.80109,0.51823,0.68111,0.54314,0.5491,0.21187,0.81606,9.05725,0.73745,1.07224,1.42165,0,0.00104192,0.000999549,0.000999549
3,1257.34,0.70082,8.31928,0.61877,0.96182,1.18397,1.25721,0.80994,0.71316,0.81134,0.53698,0.71654,0.55463,0.5723,0.23218,0.79026,8.74162,0.71642,1.02618,1.37111,0,0.00099989,0.00099989,0.00099989
4,1670.95,0.69343,8.1947,0.61287,0.94319,1.16684,1.24458,0.82078,0.73268,0.82875,0.55067,0.71007,0.58076,0.58934,0.24538,0.78031,8.49985,0.71132,0.9911,1.35847,0,0.000999753,0.000999753,0.000999753
5,2087.49,0.68705,8.10253,0.60738,0.93791,1.15918,1.23785,0.82775,0.72292,0.82791,0.55803,0.74364,0.58272,0.60591,0.26379,0.77135,8.33972,0.70329,0.98232,1.35242,0,0.000999561,0.000999561,0.000999561
6,2511.61,0.5091,5.96925,0.45265,0.68715,0.86269,2.19706,0.82664,0.73756,0.83518,0.56894,0.74287,0.60128,0.62433,0.27988,0.75729,8.10377,0.69162,0.93557,1.32511,0,0.000999315,0.000999315,0.000999315
7,2924.28,0.50682,5.91862,0.44915,0.68025,0.85729,2.1611,0.82773,0.75189,0.8437,0.57792,0.7426,0.61817,0.63777,0.28885,0.74332,7.95973,0.68831,0.92068,1.3138,0,0.000999013,0.000999013,0.000999013
8,3347.8,0.50356,5.84469,0.44565,0.67521,0.85533,2.15317,0.84132,0.74872,0.8466,0.58225,0.75953,0.62075,0.6442,0.29681,0.73501,7.84644,0.6809,0.90476,1.30049,0,0.000998657,0.000998657,0.000998657
9,3761.81,0.5027,5.8312,0.44432,0.66945,0.85005,2.13383,0.8436,0.7478,0.84959,0.58787,0.76785,0.6228,0.65613,0.30716,0.72944,7.69293,0.67604,0.88592,1.29084,0,0.000998247,0.000998247,0.000998247
10,4182.51,0.49889,5.77259,0.44191,0.66172,0.8459,2.12804,0.84076,0.75945,0.85541,0.59245,0.76554,0.62783,0.66035,0.31138,0.72561,7.61704,0.67073,0.87504,1.28597,0,0.000997781,0.000997781,0.000997781
