epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/d_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/d_loss,lr/pg0,lr/pg1,lr/pg2
1,200.234,3.48114,9.93886,0.70914,3.52633,4.01901,0,0.11593,0.13602,0.05749,0.01465,0.00079,0.0022,0.00013,5e-05,2.69848,9.55243,0.65568,3.33044,3.36047,0,0.00199774,0.00199774,0.00199774
2,400.83,2.44261,8.89258,0.65514,2.62557,2.88224,0,0.5028,0.37657,0.39017,0.16619,0.1275,0.07446,0.02754,0.00604,1.99916,7.90515,0.58916,2.18637,2.56274,0,0.0039977,0.0039977,0.0039977
3,601.286,1.9553,7.91171,0.56386,2.08842,2.32109,0,0.6257,0.50551,0.56842,0.28107,0.28287,0.17916,0.11034,0.02264,1.68871,6.95339,0.51328,1.82193,2.14257,0,0.0059975,0.0059975,0.0059975
4,804.893,1.77116,7.30086,0.51456,1.87681,2.09279,0,0.67909,0.56108,0.63895,0.35243,0.36812,0.26244,0.19318,0.04968,1.54982,6.17149,0.47812,1.58458,1.93494,0,0.00799703,0.00799703,0.00799703
5,1005.72,1.68209,6.89916,0.49027,1.74313,1.94537,0,0.70073,0.60159,0.67994,0.3837,0.47252,0.33722,0.27875,0.07605,1.46786,5.68347,0.45304,1.47999,1.79992,0,0.00999616,0.00999616,0.00999616
6,1204.89,1.6004,6.49756,0.47194,1.62823,1.82911,0,0.72067,0.63382,0.72097,0.43544,0.55548,0.40428,0.37332,0.11108,1.35228,5.20809,0.43196,1.31793,1.65661,0,0.00999754,0.00999754,0.00999754
7,1403.34,1.53298,6.2285,0.45788,1.5299,1.74021,0,0.764,0.65031,0.75172,0.47193,0.62426,0.45223,0.43316,0.13719,1.2938,4.91939,0.41902,1.21912,1.58125,0,0.00999645,0.00999645,0.00999645
8,1607.56,1.47904,5.99161,0.44785,1.45872,1.68354,0,0.77595,0.67988,0.77347,0.49777,0.63917,0.50063,0.47914,0.16498,1.24212,4.70734,0.40913,1.14869,1.51578,0,0.00999517,0.00999517,0.00999517
9,1803.92,1.44979,5.88166,0.44033,1.41263,1.64077,0,0.79086,0.69176,0.79152,0.51795,0.66031,0.52047,0.51171,0.18447,1.2002,4.55513,0.40046,1.09087,1.46768,0,0.00999369,0.00999369,0.00999369
10,2002.69,1.41946,5.75531,0.43512,1.37715,1.6075,0,0.80111,0.7045,0.8047,0.53109,0.67621,0.53755,0.53441,0.20221,1.17816,4.40597,0.3938,1.05071,1.43656,0,0.00999202,0.00999202,0.00999202
