epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/d_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/d_loss,lr/pg0,lr/pg1,lr/pg2
1,204.997,1.19745,4.73438,0.38301,1.11123,1.40784,0,0.80847,0.7193,0.81756,0.55693,0.72356,0.56108,0.58821,0.23671,1.12294,4.11408,0.36687,0.97219,1.32586,0,0.00111186,0.00099887,0.00099887
2,417.301,1.22283,4.77256,0.37973,1.13509,1.42835,0,0.82519,0.72969,0.83337,0.5656,0.72933,0.58139,0.60364,0.25232,1.11454,3.99809,0.35705,0.94132,1.32178,0,0.000999939,0.000999939,0.000999939
3,618.656,1.20286,4.70852,0.37481,1.11456,1.4121,0,0.81168,0.74163,0.8357,0.57409,0.73849,0.5943,0.61592,0.26413,1.10224,3.95016,0.35367,0.91185,1.30173,0,0.000999756,0.000999756,0.000999756
4,823.898,1.18866,4.64612,0.37091,1.10357,1.40448,0,0.82932,0.74622,0.84574,0.58853,0.75568,0.59745,0.62742,0.27646,1.05899,3.85145,0.35243,0.90056,1.27326,0,0.00099945,0.00099945,0.00099945
5,1023.06,1.18362,4.62099,0.36918,1.09128,1.39138,0,0.8384,0.74512,0.84759,0.59209,0.76176,0.61363,0.64469,0.29174,1.0578,3.78444,0.34718,0.87932,1.26666,0,0.000999023,0.000999023,0.000999023
6,1222.75,1.17339,4.57662,0.36557,1.07522,1.38039,0,0.83725,0.75252,0.85011,0.59801,0.75295,0.62295,0.64577,0.29369,1.0437,3.7144,0.34474,0.85275,1.25435,0,0.000998474,0.000998474,0.000998474
7,1422.7,1.1718,4.55481,0.36429,1.07027,1.37656,0,0.82535,0.76212,0.85286,0.60228,0.76085,0.62043,0.65047,0.30401,1.0289,3.66911,0.34147,0.84778,1.24055,0,0.000997803,0.000997803,0.000997803
8,1628.27,1.15978,4.50948,0.362,1.06142,1.37374,0,0.83375,0.76186,0.85802,0.61175,0.76768,0.63051,0.66098,0.31409,1.01368,3.61556,0.33855,0.83128,1.2307,0,0.000997011,0.000997011,0.000997011
9,1825.6,1.15752,4.49509,0.36058,1.05653,1.36092,0,0.84817,0.76055,0.86303,0.61642,0.77029,0.63721,0.663,0.31578,1.00565,3.56959,0.33697,0.8185,1.22223,0,0.000996097,0.000996097,0.000996097
10,2028.21,1.15227,4.45844,0.35924,1.05197,1.36038,0,0.84889,0.75968,0.8631,0.61968,0.77719,0.64196,0.67797,0.3284,0.99534,3.52578,0.33383,0.81025,1.21488,0,0.000995062,0.000995062,0.000995062
11,2229.95,1.14756,4.46394,0.35829,1.04486,1.35614,0,0.84069,0.77094,0.86644,0.62369,0.77191,0.64263,0.67371,0.3316,0.98792,3.48595,0.33217,0.79861,1.20726,0,0.000993906,0.000993906,0.000993906
12,2428.91,1.1456,4.42706,0.35596,1.03713,1.3492,0,0.8519,0.76716,0.86895,0.62849,0.77617,0.65072,0.68648,0.3384,0.98286,3.45948,0.32963,0.79119,1.20255,0,0.000992629,0.000992629,0.000992629
13,2630.41,1.1357,4.39825,0.35528,1.02833,1.34408,0,0.85401,0.76543,0.8726,0.63048,0.77549,0.65906,0.68986,0.34189,0.98062,3.42446,0.3289,0.7804,1.19869,0,0.000991232,0.000991232,0.000991232
14,2831.97,1.13801,4.38673,0.35485,1.02385,1.34445,0,0.85203,0.77094,0.87308,0.6334,0.77906,0.65932,0.69183,0.34332,0.97496,3.39795,0.32774,0.772,1.19642,0,0.000989715,0.000989715,0.000989715
15,3033.12,1.13189,4.35769,0.35318,1.02513,1.34261,0,0.85953,0.76921,0.87447,0.6353,0.77767,0.66739,0.69839,0.35019,0.96851,3.37918,0.32722,0.76506,1.19117,0,0.000988079,0.000988079,0.000988079
16,3240.51,1.1265,4.32788,0.35199,1.01874,1.33968,0,0.85982,0.76795,0.877,0.63759,0.78222,0.66357,0.69857,0.35314,0.96352,3.35888,0.3259,0.76131,1.18576,0,0.000986323,0.000986323,0.000986323
17,3442.8,1.12063,4.31206,0.35105,1.00884,1.32945,0,0.85554,0.77573,0.87824,0.63837,0.78459,0.6642,0.70015,0.35579,0.96199,3.34579,0.32507,0.75849,1.18416,0,0.000984449,0.000984449,0.000984449
18,3645.93,1.12375,4.33123,0.35135,1.00764,1.327,0,0.85055,0.77771,0.87848,0.64019,0.78813,0.66719,0.70251,0.35677,0.9593,3.33298,0.32465,0.7542,1.18082,0,0.000982456,0.000982456,0.000982456
19,3844.42,1.12241,4.3132,0.3507,1.00614,1.32231,0,0.85102,0.77535,0.87847,0.64242,0.78715,0.66719,0.70169,0.35752,0.95629,3.31734,0.32405,0.75244,1.17729,0,0.000980345,0.000980345,0.000980345
20,4047.54,1.11403,4.26363,0.34893,1.00067,1.32255,0,0.85819,0.77629,0.87944,0.64388,0.79538,0.66735,0.70785,0.35966,0.95567,3.30994,0.32354,0.75019,1.17659,0,0.000978118,0.000978118,0.000978118
21,4247.11,1.1136,4.27739,0.34711,0.99638,1.31556,0,0.86085,0.77621,0.87989,0.64377,0.79285,0.66877,0.70865,0.36156,0.95534,3.29855,0.32296,0.74818,1.17511,0,0.000975773,0.000975773,0.000975773
22,4445.39,1.11716,4.27588,0.34783,0.99605,1.31566,0,0.8601,0.77802,0.88035,0.64405,0.79104,0.67302,0.70863,0.36169,0.95433,3.2892,0.32256,0.74566,1.17418,0,0.000973312,0.000973312,0.000973312
23,4644.28,1.10972,4.24804,0.34643,0.99009,1.31141,0,0.86242,0.77766,0.88088,0.64432,0.79341,0.67113,0.70935,0.36348,0.9526,3.28101,0.32229,0.74329,1.17242,0,0.000970736,0.000970736,0.000970736
